NUM,id,name,problemTimeLimit,problemMemoryLimit,maxScore,solvedUser,submissions,recommendations,isSolved,bookmark,recommend,successRate,score,userScore,AC,TLE,MLE,WA,RTE
0,ALDS1_1_B,Greatest Common Divisor,1,65536,100,3015,7214,0,False,False,False,0,0.32,0,3650,823,18,1914,809
1,ALDS1_1_A,Insertion Sort,1,65536,100,3707,13346,0,False,False,False,0,0.32,0,4970,85,6,7138,1147
2,ALDS1_1_C,Prime Numbers,1,65536,100,2549,10703,0,False,False,False,0,0.32,0,3415,2449,375,3301,1163
3,ITP1_1_A,Hello World,1,65536,100,14794,40493,0,False,False,False,0,0.32,0,22990,101,20,12741,4636
4,ITP1_1_B,X Cubic,1,65536,100,11919,31154,0,False,False,False,0,0.32,0,16217,53,3,9551,5331
5,ITP1_1_C,Rectangle,1,65536,100,10472,27817,0,False,False,False,0,0.32,0,13247,10,2,10166,4392
6,ITP1_2_A,"Small, Large, or Equal",1,65536,100,8573,26212,0,False,False,False,0,0.32,0,10518,21,0,13739,1934
7,ITP1_2_B,Range,1,65536,100,8210,17440,0,False,False,False,0,0.32,0,9864,12,0,6546,1018
8,ITP1_2_C,Sorting Three Numbers,1,65536,100,7534,21573,0,False,False,False,0,0.32,0,9275,176,0,10626,1496
9,ITP1_3_A,Print Many Hello World,1,65536,100,7371,14563,0,False,False,False,0,0.32,0,9409,354,0,4042,757
10,ITP1_3_B,Print Test Cases,1,65536,100,6524,21733,0,False,False,False,0,0.32,0,8098,766,95,9357,3398
11,ITP1_3_C,Swapping Two Numbers,1,65536,100,6134,16742,0,False,False,False,0,0.32,0,7413,383,4,7304,1628
12,ALDS1_2_A,Bubble Sort,1,65536,100,3151,8350,0,False,False,False,0,0.32,0,4028,119,1,3734,468
13,ALDS1_2_B,Selection Sort,1,65536,100,2891,5718,0,False,False,False,0,0.32,0,3500,28,0,2022,168
14,ALDS1_2_C,Stable Sort,1,65536,100,1917,5508,0,False,False,False,0,0.32,0,2374,10,2,2777,345
15,ALDS1_3_A,Stack,1,65536,100,2575,7584,0,False,False,False,0,0.32,0,3544,49,6,3113,872
16,ALDS1_3_B,Queue,1,65536,100,2164,6747,0,False,False,False,0,0.32,0,3108,692,67,1717,1163
17,ALDS1_3_C,Doubly Linked List,1,131072,100,1448,10850,0,False,False,False,0,0.32,0,2330,3017,428,3097,1976
18,ITP1_4_A,A / B Problem,1,65536,100,5564,20113,0,False,False,False,0,0.32,0,7014,32,1,11669,1397
19,ITP1_4_B,Circle,1,65536,100,5399,18983,0,False,False,False,0,0.32,0,6377,22,0,9553,3031
20,ITP1_4_C,Simple Calculator,1,65536,100,4923,11625,0,False,False,False,0,0.32,0,5824,976,0,3183,1642
21,ITP1_5_A,Print a Rectangle,1,65536,100,4828,16585,0,False,False,False,0,0.32,0,5724,423,20,9545,873
22,ITP1_5_B,Print a Frame,1,65536,100,4610,9607,0,False,False,False,0,0.32,0,5347,196,5,3584,475
23,ITP1_5_C,Print a Chessboard,1,65536,100,4464,8622,0,False,False,False,0,0.32,0,5178,159,7,2838,440
24,ITP1_6_A,Reversing Numbers,1,65536,100,4402,13045,0,False,False,False,0,0.32,0,5169,90,0,6773,1013
25,ITP1_6_B,Finding Missing Cards,1,65536,100,3784,11868,0,False,False,False,0,0.32,0,4808,161,0,5285,1614
26,ITP1_6_C,Official House,1,65536,100,3506,13239,0,False,False,False,0,0.32,0,4204,64,0,8010,961
27,ALDS1_4_A,Linear Search,1,65536,100,2188,7167,0,False,False,False,0,0.32,0,2880,105,1,3525,656
28,ALDS1_4_B,Binary Search,1,65536,100,2090,7634,0,False,False,False,0,0.32,0,3063,1473,17,2341,740
29,ALDS1_4_C,Dictionary,2,131072,100,1391,8670,0,False,False,False,0,0.32,0,2527,2630,267,1805,1441
30,ALDS1_5_A,Exhaustive Search,5,65536,100,1740,4904,0,False,False,False,0,0.32,0,2449,651,26,1018,760
31,ALDS1_5_B,Merge Sort,1,65536,100,1370,4923,0,False,False,False,0,0.32,0,1949,253,98,1748,872
32,ALDS1_5_C,Koch Curve,2,65536,100,1082,2657,0,False,False,False,0,0.32,0,1376,2,1,1087,190
33,ALDS1_6_A,Counting Sort,1,131072,100,1218,5517,0,False,False,False,0,0.32,0,1766,390,69,1957,1334
34,ALDS1_6_B,Partition,1,65536,100,1308,2699,0,False,False,False,0,0.32,0,1561,18,2,966,152
35,ALDS1_6_C,Quick Sort,1,65536,100,910,3632,0,False,False,False,0,0.32,0,1247,340,22,1733,290
36,ITP1_7_A,Grading,1,65536,100,3440,9714,0,False,False,False,0,0.32,0,3990,247,1,5002,474
37,ITP1_7_B,How many ways?,1,65536,100,3368,9815,0,False,False,False,0,0.32,0,4177,300,22,4897,419
38,ITP1_7_C,Spreadsheet,1,65536,100,3016,9195,0,False,False,False,0,0.32,0,3584,101,1,4415,1094
39,ALDS1_7_A,Rooted Trees,2,65536,100,1148,5062,0,False,False,False,0,0.32,0,1628,335,84,2316,696
40,ALDS1_7_B,Binary Trees,1,65536,100,1032,3778,0,False,False,False,0,0.32,0,1308,91,0,1838,541
41,ALDS1_7_C,Tree Walk,1,65536,100,902,2291,0,False,False,False,0,0.32,0,1083,20,0,1026,162
42,ITP1_8_A,Toggling Cases,1,65536,100,2616,6293,0,False,False,False,0,0.32,0,3128,473,0,2337,355
43,ITP1_8_B,Sum of Numbers,1,65536,100,2656,6518,0,False,False,False,0,0.32,0,3291,386,8,1937,896
44,ITP1_8_C,Counting Characters,1,65536,100,2376,9508,0,False,False,False,0,0.32,0,2999,375,10,4812,1312
45,ITP1_9_A,Finding a Word,1,65536,100,2195,8003,0,False,False,False,0,0.32,0,2668,324,5,4273,733
46,ITP1_9_B,Shuffle,1,65536,100,2036,4120,0,False,False,False,0,0.32,0,2444,219,6,875,576
47,ITP1_9_C,Card Game,1,65536,100,2037,3718,0,False,False,False,0,0.32,0,2357,35,0,1141,185
48,ALDS1_8_A,Binary Search Tree I,2,65536,100,1109,3120,0,False,False,False,0,0.32,0,1592,145,139,847,397
49,ALDS1_8_B,Binary Search Tree II,2,65536,100,1045,1964,0,False,False,False,0,0.32,0,1315,150,12,384,103
50,ALDS1_8_C,Binary Search Tree III,2,131072,100,786,2481,0,False,False,False,0,0.32,0,1099,50,6,790,536
51,ALDS1_9_A,Complete Binary Tree,1,65536,100,1149,3430,0,False,False,False,0,0.32,0,1339,7,2,1776,306
52,ALDS1_9_B,Maximum Heap,2,65536,100,1063,2808,0,False,False,False,0,0.32,0,1313,95,10,926,464
53,ALDS1_9_C,Priority Queue,2,131072,100,924,3470,0,False,False,False,0,0.32,0,1347,699,65,868,491
54,ALDS1_10_A,Fibonacci Number,1,65536,100,1566,3541,0,False,False,False,0,0.32,0,1983,691,5,595,267
