index,index2,id,name,problemTimeLimit,problemMemoryLimit,maxScore,solvedUser,submissions,recommendations,isSolved,bookmark,recommend,successRate,score,userScore,AC,TLE,MLE,WA,RTE,cat
0,0,ALDS1_1_B,Greatest Common Divisor,1,65536,100,3015,7214,0,False,False,False,0,0.32,0,3650,823,18,1914,809,-1
1,1,ALDS1_1_A,Insertion Sort,1,65536,100,3707,13346,0,False,False,False,0,0.32,0,4970,85,6,7138,1147,-1
2,2,ALDS1_1_C,Prime Numbers,1,65536,100,2549,10703,0,False,False,False,0,0.32,0,3415,2449,375,3301,1163,-1
3,3,ITP1_1_A,Hello World,1,65536,100,14794,40493,0,False,False,False,0,0.32,0,22990,101,20,12741,4636,-1
4,4,ITP1_1_B,X Cubic,1,65536,100,11919,31154,0,False,False,False,0,0.32,0,16217,53,3,9551,5331,-1
5,5,ITP1_1_C,Rectangle,1,65536,100,10472,27817,0,False,False,False,0,0.32,0,13247,10,2,10166,4392,-1
6,6,ITP1_2_A,"Small, Large, or Equal",1,65536,100,8573,26212,0,False,False,False,0,0.32,0,10518,21,0,13739,1934,-1
7,7,ITP1_2_B,Range,1,65536,100,8210,17440,0,False,False,False,0,0.32,0,9864,12,0,6546,1018,-1
8,8,ITP1_2_C,Sorting Three Numbers,1,65536,100,7534,21573,0,False,False,False,0,0.32,0,9275,176,0,10626,1496,-1
9,9,ITP1_3_A,Print Many Hello World,1,65536,100,7371,14563,0,False,False,False,0,0.32,0,9409,354,0,4042,757,-1
10,10,ITP1_3_B,Print Test Cases,1,65536,100,6524,21733,0,False,False,False,0,0.32,0,8098,766,95,9357,3398,-1
11,11,ITP1_3_C,Swapping Two Numbers,1,65536,100,6134,16742,0,False,False,False,0,0.32,0,7413,383,4,7304,1628,-1
12,12,ALDS1_2_A,Bubble Sort,1,65536,100,3151,8350,0,False,False,False,0,0.32,0,4028,119,1,3734,468,-1
13,13,ALDS1_2_B,Selection Sort,1,65536,100,2891,5718,0,False,False,False,0,0.32,0,3500,28,0,2022,168,-1
14,14,ALDS1_2_C,Stable Sort,1,65536,100,1917,5508,0,False,False,False,0,0.32,0,2374,10,2,2777,345,-1
15,15,ALDS1_3_A,Stack,1,65536,100,2575,7584,0,False,False,False,0,0.32,0,3544,49,6,3113,872,-1
16,16,ALDS1_3_B,Queue,1,65536,100,2164,6747,0,False,False,False,0,0.32,0,3108,692,67,1717,1163,-1
