id,name,problemTimeLimit,problemMemoryLimit,maxScore,solvedUser,submissions,recommendations,isSolved,bookmark,recommend,successRate,score,userScore
ALDS1_1_B,Greatest Common Divisor,1,65536,100,3015,7214,0,false,false,false,0,0.32,0
ALDS1_1_A,Insertion Sort,1,65536,100,3707,13346,0,false,false,false,0,0.32,0
ALDS1_1_C,Prime Numbers,1,65536,100,2549,10703,0,false,false,false,0,0.32,0
ITP1_1_A,Hello World,1,65536,100,14794,40493,0,false,false,false,0,0.32,0
ITP1_1_B,X Cubic,1,65536,100,11919,31154,0,false,false,false,0,0.32,0
ITP1_1_C,Rectangle,1,65536,100,10472,27817,0,false,false,false,0,0.32,0
ITP1_2_A,"Small, Large, or Equal",1,65536,100,8573,26212,0,false,false,false,0,0.32,0
ITP1_2_B,Range,1,65536,100,8210,17440,0,false,false,false,0,0.32,0
ITP1_2_C,Sorting Three Numbers,1,65536,100,7534,21573,0,false,false,false,0,0.32,0
ITP1_3_A,Print Many Hello World,1,65536,100,7371,14563,0,false,false,false,0,0.32,0
ITP1_3_B,Print Test Cases,1,65536,100,6524,21733,0,false,false,false,0,0.32,0
ITP1_3_C,Swapping Two Numbers,1,65536,100,6134,16742,0,false,false,false,0,0.32,0
ALDS1_2_A,Bubble Sort,1,65536,100,3151,8350,0,false,false,false,0,0.32,0
ALDS1_2_B,Selection Sort,1,65536,100,2891,5718,0,false,false,false,0,0.32,0
ALDS1_2_C,Stable Sort,1,65536,100,1917,5508,0,false,false,false,0,0.32,0
ALDS1_3_A,Stack,1,65536,100,2575,7584,0,false,false,false,0,0.32,0
ALDS1_3_B,Queue,1,65536,100,2164,6747,0,false,false,false,0,0.32,0
ALDS1_3_C,Doubly Linked List,1,131072,100,1448,10850,0,false,false,false,0,0.32,0
ITP1_4_A,A / B Problem,1,65536,100,5564,20113,0,false,false,false,0,0.32,0
ITP1_4_B,Circle,1,65536,100,5399,18983,0,false,false,false,0,0.32,0
ITP1_4_C,Simple Calculator,1,65536,100,4923,11625,0,false,false,false,0,0.32,0
ITP1_5_A,Print a Rectangle,1,65536,100,4828,16585,0,false,false,false,0,0.32,0
ITP1_5_B,Print a Frame,1,65536,100,4610,9607,0,false,false,false,0,0.32,0
